file_path,label
data/images/Amanita_muscaria/188506846.jpg,Amanita muscaria
data/images/Amanita_muscaria/188649708.jpg,Amanita muscaria
data/images/Amanita_muscaria/188650006.jpg,Amanita muscaria
data/images/Amanita_muscaria/188797586.jpg,Amanita muscaria
data/images/Amanita_muscaria/188852877.jpg,Amanita muscaria
data/images/Amanita_muscaria/188880004.jpg,Amanita muscaria
data/images/Amanita_muscaria/188903097.jpg,Amanita muscaria
data/images/Amanita_muscaria/188988821.jpg,Amanita muscaria
data/images/Amanita_muscaria/189003336.jpg,Amanita muscaria
data/images/Amanita_muscaria/189046754.jpg,Amanita muscaria
data/images/Amanita_muscaria/189091848.jpg,Amanita muscaria
data/images/Amanita_muscaria/189092271.jpg,Amanita muscaria
data/images/Amanita_muscaria/189119055.jpg,Amanita muscaria
data/images/Amanita_muscaria/189123339.jpg,Amanita muscaria
data/images/Amanita_muscaria/189147227.jpg,Amanita muscaria
data/images/Amanita_muscaria/189204290.jpg,Amanita muscaria
data/images/Amanita_muscaria/189252685.jpg,Amanita muscaria
data/images/Amanita_muscaria/189338576.jpg,Amanita muscaria
data/images/Amanita_muscaria/189360778.jpg,Amanita muscaria
data/images/Amanita_muscaria/189459763.jpg,Amanita muscaria
data/images/Amanita_muscaria/189460481.jpg,Amanita muscaria
data/images/Amanita_muscaria/189465674.jpg,Amanita muscaria
data/images/Amanita_muscaria/189624538.jpg,Amanita muscaria
data/images/Amanita_muscaria/189649078.jpg,Amanita muscaria
data/images/Amanita_muscaria/189651323.jpg,Amanita muscaria
data/images/Amanita_muscaria/189668913.jpg,Amanita muscaria
data/images/Amanita_muscaria/189743012.jpg,Amanita muscaria
data/images/Amanita_muscaria/189829889.jpg,Amanita muscaria
data/images/Amanita_muscaria/189937438.jpg,Amanita muscaria
data/images/Amanita_muscaria/189946349.jpg,Amanita muscaria
data/images/Amanita_muscaria/189961204.jpg,Amanita muscaria
data/images/Amanita_muscaria/190078840.jpg,Amanita muscaria
data/images/Amanita_muscaria/190306763.jpg,Amanita muscaria
data/images/Amanita_muscaria/190322646.jpg,Amanita muscaria
data/images/Amanita_muscaria/190338100.jpg,Amanita muscaria
data/images/Amanita_muscaria/191070779.jpg,Amanita muscaria
data/images/Amanita_muscaria/191072247.jpg,Amanita muscaria
data/images/Amanita_muscaria/191474933.jpg,Amanita muscaria
data/images/Amanita_muscaria/191666069.jpg,Amanita muscaria
