observation_id,species,file_path,user,observed_on,latitude,longitude,num_identification_agreements
188661698,Amanita citrina,data/raw/images/Amanita_citrina/188661698.jpg,jrhdk,2023-10-23,56.1663239,9.55656423,1
95049071,Amanita citrina,data/raw/images/Amanita_citrina/95049071.jpg,lindaplougmann,2021-09-16,56.1516882595,9.5236833589,1
315000934,Amanita citrina,data/raw/images/Amanita_citrina/315000934.jpg,rene354,2025-09-19,55.2677783333,10.7795916667,1
316256042,Amanita citrina,data/raw/images/Amanita_citrina/316256042.jpg,nanna_yde,2025-09-11,55.8134809986,10.0539175048,1
97342054,Amanita citrina,data/raw/images/Amanita_citrina/97342054.jpg,charlotte222,2021-10-06,56.0544445,12.29993,1
320024277,Amanita citrina,data/raw/images/Amanita_citrina/320024277.jpg,henrikbjerreso,2025-10-10,55.7657979,12.3804955997,1
259416450,Amanita citrina,data/raw/images/Amanita_citrina/259416450.jpg,chrsor,2022-10-15,56.5120980128,9.1868602116,1
239812897,Amanita citrina,data/raw/images/Amanita_citrina/239812897.jpg,rene354,2024-09-04,55.2664483333,10.78581,1
180099002,Amanita citrina,data/raw/images/Amanita_citrina/180099002.jpg,bjorn1864,2023-08-25,55.235286163,14.8756958049,2
180667839,Amanita citrina,data/raw/images/Amanita_citrina/180667839.jpg,kasper86,2023-08-28,57.0946971667,10.35693,1
309462153,Amanita citrina,data/raw/images/Amanita_citrina/309462153.jpg,yvonne147,2025-08-26,55.3087768775,11.6319866115,1
178363741,Amanita citrina,data/raw/images/Amanita_citrina/178363741.jpg,shbnature,2023-08-14,57.4160583333,10.510775,1
249008595,Amanita citrina,data/raw/images/Amanita_citrina/249008595.jpg,rene354,2024-10-25,55.2638283333,10.7793783333,1
138857471,Amanita citrina,data/raw/images/Amanita_citrina/138857471.jpg,fahrenheit_66,2022-10-15,55.1800533333,8.76565,1
137422590,Amanita citrina,data/raw/images/Amanita_citrina/137422590.jpg,christina880,2022-10-03,55.5228619299,11.6108606023,1
98900185,Amanita citrina,data/raw/images/Amanita_citrina/98900185.jpg,lenaquist,2021-10-21,55.8246616667,11.39252,1
244270244,Amanita citrina,data/raw/images/Amanita_citrina/244270244.jpg,andreasviking82,2024-09-27,57.4387470547,9.9994155759,1
